iter	Passed	Remaining
0	3	3655
1	7	3644
2	10	3461
3	14	3529
4	17	3446
5	21	3493
6	24	3489
7	28	3515
8	31	3465
9	36	3658
10	42	3782
11	46	3805
12	50	3868
13	55	3907
14	58	3868
15	63	3918
16	67	3907
17	71	3881
18	74	3845
19	79	3896
20	82	3851
21	86	3835
22	89	3804
23	93	3794
24	96	3769
25	100	3763
26	104	3748
27	107	3734
28	111	3718
29	114	3716
30	118	3705
31	122	3708
32	125	3682
33	129	3672
34	133	3680
35	137	3685
36	141	3670
37	144	3665
38	148	3655
39	152	3652
40	154	3619
41	158	3612
42	161	3597
43	165	3588
44	168	3570
45	171	3563
46	174	3548
47	178	3541
48	182	3537
49	185	3531
50	189	3532
51	194	3554
52	205	3663
53	208	3651
54	212	3648
55	215	3637
56	219	3633
57	222	3620
58	226	3611
59	230	3606
60	234	3602
61	237	3591
62	239	3562
63	242	3550
64	246	3541
65	249	3530
66	253	3523
67	255	3503
68	259	3495
69	262	3485
70	265	3478
71	269	3474
72	273	3473
73	276	3465
74	280	3458
75	283	3450
76	287	3450
77	291	3441
78	294	3436
79	298	3427
80	301	3422
81	305	3417
82	308	3411
83	312	3402
84	315	3400
85	318	3389
86	322	3383
87	325	3374
88	329	3369
89	332	3362
90	336	3357
91	339	3351
92	343	3346
93	346	3338
94	349	3333
95	353	3326
96	356	3322
97	360	3314
98	364	3312
99	367	3304
100	370	3300
101	374	3293
102	377	3288
103	381	3283
104	384	3280
105	388	3273
106	391	3268
107	394	3260
108	398	3256
109	401	3248
110	404	3242
111	409	3243
112	413	3243
113	416	3237
114	420	3233
115	423	3226
116	427	3223
117	430	3217
118	433	3212
119	437	3205
120	440	3202
121	444	3195
122	447	3191
123	450	3185
124	454	3181
125	457	3173
126	460	3167
127	464	3164
128	467	3159
129	472	3161
130	475	3155
131	478	3148
132	483	3148
133	486	3143
134	490	3143
135	494	3141
136	499	3147
137	504	3149
138	507	3144
139	511	3140
140	514	3135
141	518	3133
142	521	3126
143	525	3122
